"","ID","householdID","communityID","xrtype","fa001","fa002","fa006","fe001","fe002","ff002_2","ff004_1","ff004_2","ff004_3","ff005bracket_min","ff012_1","ff012_3","ff013bracket_min","ff013bracket_max","fl020s6","fl022_1","fn014_w2_2_2_","fn017_w2"
"220","064028202001","0640282020","0640282",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","064033321001","0640333210","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","064033321002","0640333210","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","064033327001","0640333270","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","064033327002","0640333270","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","064033325001","0640333250","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","064033325002","0640333250","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","064033322001","0640333220","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","064033322002","0640333220","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","064033330002","0640333300","0640333",1,1,0,0,6,5,0,0,0,0,0,2500,0,0,0,0,0,0,0
"230","064033330001","0640333300","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","064033341001","0640333410","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"232","064033341002","0640333410","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","064033324002","0640333240","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","064033324001","0640333240","0640333",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","064033333001","0640333330","0640333",2,2,1,0,10,7,0,2700,0,0,0,0,0,0,0,0,0,0,0
"236","064033306002","0640333060","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"237","064033306001","0640333060","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","064033301002","0640333010","0640333",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
